station,member_casual,latitude,longitude,number_of_rides
New St & Illinois St,member,41.89080768426454,-87.61854859398211,11401
Kimbark Ave & 53rd St,member,41.79956646422671,-87.5947411552977,11354
May St & Taylor St,member,41.8694797216085,-87.65547660625498,11060
Clark St & Armitage Ave,casual,41.91829297154982,-87.63631076643206,11040
Calumet Ave & 33rd St,member,41.834897398089325,-87.6179342759422,11038
Fairbanks Ct & Grand Ave,member,41.89186916339005,-87.62060783613866,10991
Franklin St & Jackson Blvd,member,41.877731391587474,-87.6353032879756,10986
Wells St & Evergreen Ave,member,41.90671550072846,-87.63495771736659,10982
Pine Grove Ave & Irving Park Rd,member,41.954366269978095,-87.64805090184556,10956
Sheffield Ave & Wellington Ave,member,41.93627069907353,-87.65266476656028,10934
Michigan Ave & 8th St,casual,41.872706968321644,-87.62399283394353,10838
Clark St & Lincoln Ave,casual,41.915706450250234,-87.63460852240074,10830
Clark St & Elm St,casual,41.902887843574405,-87.63142506824799,10799
Broadway & Sheridan Rd,member,41.95275937297735,-87.65000486291183,10684
Racine Ave & Fullerton Ave,member,41.925583962146945,-87.6584507236454,10671
Clark St & Lake St,member,41.885983938506705,-87.63094630102242,10661
Aberdeen St & Jackson Blvd,member,41.87775582891386,-87.65481201343427,10634
Clarendon Ave & Gordon Ter,member,41.95783164824489,-87.64950882691771,10609
Sheridan Rd & Montrose Ave,member,41.96162518255618,-87.65464076024551,10590
Wilton Ave & Belmont Ave,casual,41.94014579242387,-87.65297120269435,10574
Clark St & Wellington Ave,member,41.936496787104794,-87.6475695758919,10545
State St & Randolph St,member,41.88462283525517,-87.62790354535097,10542
Broadway & Belmont Ave,member,41.94008478911491,-87.6454736061453,10530
Sedgwick St & Huron St,member,41.89466366173792,-87.6383692209603,10455
Rush St & Cedar St,member,41.9023326890883,-87.62774835290251,10453
Sheffield Ave & Wrightwood Ave,member,41.92869800890779,-87.65384484998454,10346
Franklin St & Chicago Ave,member,41.89676208133495,-87.6357021660986,10345
McClurg Ct & Erie St,member,41.8944954945363,-87.61798834587705,10330
Canal St & Jackson Blvd,member,41.87729152428013,-87.63941972538484,10238
Clark St & Winnemac Ave,member,41.97332370587378,-87.66784071840011,10157
Clark St & Randolph St,member,41.88458914971522,-87.63181569774054,10113
Desplaines St & Jackson Blvd,member,41.87812928883279,-87.6440304125839,10101
Rush St & Superior St,member,41.895726000894236,-87.62603699519013,10098
DuSable Lake Shore Dr & Wellington Ave,member,41.93667947152662,-87.63682625360647,10068
Milwaukee Ave & Grand Ave,member,41.89157159639478,-87.64834176976098,10041
State St & Kinzie St,member,41.88915719895589,-87.62720170866986,9999
Halsted St & Dickens Ave,member,41.91996099750875,-87.64884679605804,9995
Sheffield Ave & Kingsbury St,member,41.91054862563618,-87.65316070501808,9950
Stockton Dr & Wrightwood Ave,member,41.93131176734228,-87.63873680982235,9907
Wells St & Elm St,casual,41.90315905149631,-87.63444607355272,9891
Millennium Park,member,41.88109316663383,-87.6241339512297,9848
Wabash Ave & Grand Ave,casual,41.89144540779151,-87.6267583510629,9794
Sedgwick St & Webster Ave,member,41.92216935253881,-87.63892097974775,9792
Clark St & Newport St,casual,41.944523918371644,-87.65471552574903,9746
DuSable Lake Shore Dr & Monroe St,member,41.8809744745071,-87.61674935109076,9718
900 W Harrison St,member,41.87475567980608,-87.64981554525458,9643
Sedgwick St & North Ave,member,41.911360436841335,-87.63868625017814,9599
Broadway & Barry Ave,casual,41.93760927423465,-87.64409862366365,9597
Mies van der Rohe Way & Chicago Ave,member,41.89700240399205,-87.62177375510409,9559
Lincoln Ave & Diversey Pkwy,member,41.93219253312941,-87.65867860790803,9350
Michigan Ave & Washington St,casual,41.8839704974753,-87.62458039504295,9312
Burling St & Diversey Pkwy,member,41.933119813036136,-87.64775434085503,9298
DuSable Lake Shore Dr & Diversey Pkwy,casual,41.93257593979363,-87.63642667373095,9255
New St & Illinois St,casual,41.89080966975599,-87.61854335927451,9180
Southport Ave & Wellington Ave,member,41.9357655475482,-87.66359692066499,9128
Franklin St & Illinois St,member,41.89102111138895,-87.63546285452642,9122
DuSable Lake Shore Dr & Belmont Ave,casual,41.940761721863545,-87.63918731815411,9058
LaSalle St & Illinois St,casual,41.89078214470238,-87.63169389212038,9055
Sangamon St & Lake St,member,41.88582571140978,-87.65105437644294,8895
Wood St & Milwaukee Ave,member,41.90762401819685,-87.6725172948099,8890
McClurg Ct & Ohio St,casual,41.892601752000004,-87.61729865133937,8840
Ogden Ave & Chicago Ave,member,41.896364174732234,-87.65406820186014,8795
Wabash Ave & 9th St,member,41.87074698443901,-87.62573966889849,8788
Wolcott Ave & Polk St,member,41.87128878384334,-87.67368993090452,8745
Kingsbury St & Kinzie St,casual,41.88918366404328,-87.63849754585938,8733
Clark St & Wrightwood Ave,casual,41.92956037143409,-87.64314069116601,8542
Milwaukee Ave & Wabansia Ave,member,41.91261408321336,-87.68139834119737,8502
Michigan Ave & Lake St,casual,41.88599784158515,-87.62442901583972,8485
Sheffield Ave & Fullerton Ave,casual,41.925599122229464,-87.65370721692663,8437
Sheffield Ave & Waveland Ave,casual,41.94930307902089,-87.65447940798926,8375
Larrabee St & Webster Ave,casual,41.921802959064074,-87.64409413390328,8334
Lakeview Ave & Fullerton Pkwy,casual,41.92586977574103,-87.63896805304452,8333
Honore St & Division St,member,41.903116269917064,-87.67387174303126,8320
Field Museum,casual,41.865322477474436,-87.61793136058236,8311
Mies van der Rohe Way & Chestnut St,member,41.898569891609434,-87.62205340264329,8270
Larrabee St & Division St,member,41.903496639462695,-87.64334651292832,8189
Halsted St & Fulton St,member,41.88735300231061,-87.64842049719006,8171
Wells St & Walton St,member,41.89993682565851,-87.6344381305924,8170
Halsted St & Roscoe St,casual,41.94367275262576,-87.64893667062601,8051
Clark St & Berwyn Ave,member,41.977990868144175,-87.66828724059616,8018
Wells St & Huron St,casual,41.894740000168454,-87.63439674739081,8014
Dayton St & North Ave,member,41.91058775118596,-87.64942159376281,8002
Southport Ave & Belmont Ave,member,41.93944228913562,-87.66376427541337,7971
Montrose Harbor,member,41.96395510059542,-87.63818731119588,7944
Racine Ave & Belmont Ave,member,41.939695629514745,-87.65886558325562,7934
Michigan Ave & 14th St,member,41.864125508194775,-87.62373203976789,7927
Wells St & Evergreen Ave,casual,41.906709556738164,-87.63496467451834,7879
DuSable Lake Shore Dr & Wellington Ave,casual,41.93670575837233,-87.63683828114827,7864
Carpenter St & Huron St,member,41.89455773690953,-87.65345363400536,7837
Lincoln Ave & Fullerton Ave,casual,41.924169635240894,-87.6463714377559,7825
Sheridan Rd & Buena Ave,member,41.95848279714597,-87.65499245323593,7803
Wacker Dr & Washington St,member,41.88316663475793,-87.63730292823809,7787
Broadway & Wilson Ave,member,41.9651982971423,-87.65823930344966,7737
Broadway & Cornelia Ave,casual,41.94549014243163,-87.64645039277771,7715
Rhodes Ave & 32nd St,member,41.8364563982717,-87.61348446529519,7707
Kedzie Ave & Milwaukee Ave,member,41.92958364626186,-87.70790237987778,7691
Racine Ave & Congress Pkwy,member,41.87464206808491,-87.65703531993165,7608
Greenview Ave & Fullerton Ave,member,41.925362988149224,-87.66581488997232,7586
Financial Pl & Ida B Wells Dr,member,41.87503181206569,-87.63311905648727,7581
Halsted St & Willow St,member,41.913843111116684,-87.64877721032207,7576
Clarendon Ave & Junior Ter,member,41.9609733122334,-87.64955977122916,7558
Clark St & Grace St,member,41.95079882239804,-87.65919326453788,7552
Ellis Ave & 58th St,member,41.788754620503056,-87.60131366764932,7534
Halsted St & Maxwell St,member,41.864882763755816,-87.64707281569757,7519
Wells St & Hubbard St,casual,41.889954053817476,-87.63429056450293,7484
LaSalle Dr & Huron St,member,41.89482388178949,-87.63232663582052,7477
Aberdeen St & Randolph St,member,41.88412505732709,-87.65427449515317,7475
Dearborn St & Erie St,casual,41.894052817065784,-87.62931664868827,7433
Desplaines St & Randolph St,member,41.884322134453484,-87.64446260754407,7374
Halsted St & Roosevelt Rd,member,41.86737332497483,-87.64864045552864,7349
Stetson Ave & South Water St,member,41.88675709513079,-87.62231287126703,7340
State St & Chicago Ave,casual,41.89663891916394,-87.62862334221222,7332
Jefferson St & Monroe St,member,41.88036261377193,-87.64276011179687,7296
Ashland Ave & Division St,casual,41.903364233011516,-87.66781508580225,7292
Columbus Dr & Randolph St,casual,41.88464794028273,-87.61953847440434,7286
Southport Ave & Roscoe St,casual,41.94370957811134,-87.6639939208481,7275
Southport Ave & Wrightwood Ave,member,41.92877594474271,-87.66387948683682,7268
Clark St & Chicago Ave,member,41.89672055182181,-87.63089189442715,7262
Franklin St & Adams St (Temp),member,41.87928626847093,-87.6355301504898,7207
Pine Grove Ave & Waveland Ave,casual,41.94939544820753,-87.64645173394062,7141
Ritchie Ct & Banks St,member,41.906847616504066,-87.62619718794785,7134
Cityfront Plaza Dr & Pioneer Ct,member,41.89051172203359,-87.62207333841519,7086
Clark St & Drummond Pl,casual,41.931249324800284,-87.64429028044319,7085
Paulina St & Flournoy St,member,41.87306549509613,-87.6690789599689,7074
Wells St & Polk St,member,41.872769867509554,-87.63367473965029,7063
Aberdeen St & Monroe St,member,41.880413901187474,-87.65554804060507,7057
Ellis Ave & 60th St,casual,41.78510357504265,-87.60108121675718,7034
Halsted St & Wrightwood Ave,casual,41.929117228669526,-87.64910500638258,7005
Lincoln Park Conservatory,casual,41.923980351212336,-87.6358462206183,7003
Damen Ave & Pierce Ave,casual,41.90940429682281,-87.67769196437186,6981
Desplaines St & Kinzie St,casual,41.888656598457125,-87.64442997152997,6974
Broadway & Waveland Ave,casual,41.94905292939902,-87.64862621625645,6972
Clifton Ave & Armitage Ave,member,41.91821424087231,-87.65697639896557,6970
Woodlawn Ave & 55th St,member,41.795286601770954,-87.59647779869977,6968
Wabash Ave & Roosevelt Rd,casual,41.86720135718263,-87.62597097861511,6932
Damen Ave & Chicago Ave,member,41.895694147950906,-87.67715521691409,6925
Field Blvd & South Water St,member,41.886297315555716,-87.6175177805088,6820
Clark St & North Ave,member,41.91196633636697,-87.63198194060574,6818
Rush St & Hubbard St,member,41.89018645209623,-87.62622448571659,6817
Damen Ave & Cortland St,member,41.915985674593,-87.677306205072,6806
Sheffield Ave & Willow St,member,41.91371671837038,-87.65285488551892,6793
Michigan Ave & 8th St,member,41.872714823752396,-87.62398726284009,6785
Michigan Ave & Jackson Blvd,casual,41.87809162742803,-87.62411015667946,6773
Wabash Ave & Wacker Pl,member,41.88685552632938,-87.6260843849273,6740
California Ave & Milwaukee Ave,member,41.92268385683921,-87.69714379762159,6723
Southport Ave & Waveland Ave,casual,41.9480940803079,-87.66401118389707,6723
Sheffield Ave & Wrightwood Ave,casual,41.92868893891213,-87.65382962122834,6692
Clark St & Leland Ave,member,41.967071383727664,-87.66736389306861,6661
Dearborn Pkwy & Delaware Pl,casual,41.89895487804547,-87.629910089089,6641
Lakefront Trail & Bryn Mawr Ave,member,41.98402681856605,-87.6522953492258,6639
Larrabee St & Oak St,member,41.90022522485697,-87.64298320160529,6572
Fairbanks Ct & Grand Ave,casual,41.89187662229195,-87.62060799562835,6549
Sheffield Ave & Webster Ave,casual,41.9216307564705,-87.65380393990675,6542
Halsted St & Clybourn Ave,casual,41.90962668565844,-87.64812195454085,6523
Western Ave & Winnebago Ave,member,41.91552268258776,-87.68700611055036,6523
University Ave & 57th St,casual,41.79148343801166,-87.5998836942283,6518
State St & Van Buren St,member,41.87716901113686,-87.62788542218566,6474
State St & Pearson St,member,41.89744286204454,-87.62873635752396,6466
Ogden Ave & Race Ave,member,41.89178654721094,-87.65878982238594,6400
Orleans St & Hubbard St,member,41.88997566363352,-87.63663312778611,6396
Wabash Ave & Adams St,member,41.87948589690368,-87.62573650594048,6385
Clark St & Bryn Mawr Ave,member,41.98356597498744,-87.66916267902198,6370
State St & Randolph St,casual,41.88461688750236,-87.62789536949576,6366
Elston Ave & Cortland St,member,41.91643530315682,-87.66675473210874,6364
Dearborn St & Adams St,member,41.879270603853676,-87.62974103947494,6342
St. Clair St & Erie St,casual,41.89432965068275,-87.62280022497792,6342
Clinton St & Washington Blvd,casual,41.883381265180155,-87.64125858045038,6328
Wilton Ave & Diversey Pkwy,casual,41.9324256962349,-87.65269890703591,6292
Lake Park Ave & 56th St,member,41.79325209435305,-87.58779546542729,6237
Clinton St & Madison St,casual,41.88257640941376,-87.6411781761749,6209
Stockton Dr & Wrightwood Ave,casual,41.931317086855614,-87.63872923948026,6157
Sheffield Ave & Wellington Ave,casual,41.93627049886586,-87.65265814248205,6128
Orleans St & Chestnut St (NEXT Apts),member,41.898163289888764,-87.63753975446262,6113
Bissell St & Armitage Ave*,member,41.9183493328644,-87.6521867814855,6099
Throop St & Taylor St,member,41.868905437657794,-87.65912291934583,6084
Michigan Ave & 18th St,member,41.8578322314651,-87.62455284564923,6061
Wabash Ave & 16th St,member,41.86038704236037,-87.62581635757812,6016
LaSalle St & Washington St,member,41.88268671211451,-87.63252030347229,5973
Clark St & Schiller St,casual,41.9079593996613,-87.6315617869735,5964
Clark St & Wellington Ave,casual,41.93649704972638,-87.64756486919086,5957
Eckhart Park,member,41.89637727295749,-87.66098461023526,5951
Shore Dr & 55th St,member,41.79523016202823,-87.5807925224332,5951
State St & 35th St,member,41.831052176449376,-87.62685151121401,5906
Broadway & Argyle St,member,41.97375811284379,-87.65972136035356,5883
Sheridan Rd & Irving Park Rd,casual,41.954225845055284,-87.65442568231842,5879
Clark St & Grace St,casual,41.950827097418255,-87.65918642214407,5872
Larrabee St & Armitage Ave,member,41.91809610316616,-87.6437553346264,5862
Dusable Harbor,member,41.88696086826213,-87.61284214830144,5852
Wabash Ave & Wacker Pl,casual,41.88686228567397,-87.62607325139754,5846
Ashland Ave & Blackhawk St,member,41.90705075171487,-87.6672278496543,5843
Southport Ave & Clybourn Ave,member,41.920761820433206,-87.66372077856231,5794
Broadway & Belmont Ave,casual,41.94009876624308,-87.64547386884163,5784
Orleans St & Merchandise Mart Plaza,casual,41.88809194109763,-87.63667558585573,5767
Halsted St & Dickens Ave,casual,41.919957879128695,-87.64885124011653,5750
Racine Ave & Belmont Ave,casual,41.93969898236737,-87.65887016200035,5749
Wood St & Taylor St (Temp),member,41.869311193803284,-87.67371743260482,5724
Clark St & Ida B Wells Dr,member,41.87593295497029,-87.63065963449493,5722
Damen Ave & Thomas St (Augusta Blvd),member,41.90133659572735,-87.67742166759366,5685
Daley Center Plaza,casual,41.88415578411048,-87.629589407545,5666
Michigan Ave & Madison St,member,41.8820575897156,-87.6251524860219,5661
Cityfront Plaza Dr & Pioneer Ct,casual,41.89052524300639,-87.6220726401827,5638
Mies van der Rohe Way & Chestnut St,casual,41.89857188985988,-87.62207006441646,5638
Green St & Madison St,casual,41.881864973686646,-87.649199766573,5623
Western Ave & Leland Ave,member,41.96642651758056,-87.6886992856418,5617
Southport Ave & Irving Park Rd,member,41.954152072413606,-87.66431176493231,5614
Canal St & Adams St,casual,41.87932935719758,-87.63996783337431,5613
Milwaukee Ave & Grand Ave,casual,41.89159072454643,-87.64832208599677,5578
Sangamon St & Washington Blvd,member,41.8830915380597,-87.65110630032908,5561
Kedzie Ave & Milwaukee Ave,casual,41.9295721375378,-87.70789455379409,5556
Green St & Washington Blvd,member,41.88320238162736,-87.64874913480288,5555
Franklin St & Jackson Blvd,casual,41.8777300518616,-87.63527890825915,5549
Morgan St & Lake St*,member,41.88549761705394,-87.65233384828251,5543
Lakefront Trail & Bryn Mawr Ave,casual,41.98399634162808,-87.65229866413712,5528
Lincoln Park Conservatory,member,41.92398488316247,-87.6358601422188,5521
Clinton St & Jackson Blvd,casual,41.87835757050054,-87.64112410364889,5514
Clark St & Winnemac Ave,casual,41.97335583331995,-87.66783959707793,5479
Wood St & Chicago Ave,member,41.8956158994683,-87.67209178217796,5473
Broadway & Berwyn Ave,member,41.97834557759076,-87.65976593064539,5454
Burnham Harbor,member,41.85743083719324,-87.6137967621014,5444
Pine Grove Ave & Irving Park Rd,casual,41.9543876633793,-87.64805690274683,5439
Racine Ave & Wrightwood Ave,member,41.928895969413176,-87.65897667827643,5419
Michigan Ave & Pearson St,member,41.897534269307734,-87.62355283909544,5417
Michigan Ave & Jackson Blvd,member,41.87804022869824,-87.62411156139648,5385
Federal St & Polk St,casual,41.87209157988064,-87.62956634804736,5362
Rush St & Cedar St,casual,41.902341966320314,-87.62774336450757,5351
Emerald Ave & 31st St,member,41.838229036780426,-87.64513202960248,5333
Clybourn Ave & Division St,member,41.904596837312724,-87.64056940610278,5273
Clinton St & Roosevelt Rd,member,41.86712024809406,-87.64107263974105,5252
Sedgwick St & North Ave,casual,41.91136788876049,-87.63867601927917,5244
Ashland Ave & Augusta Blvd,member,41.89962345272415,-87.66798427183708,5242
Larrabee St & North Ave,member,41.91016754984527,-87.64350144074498,5235
Fairbanks St & Superior St,member,41.89576343356473,-87.620132925655,5229
Damen Ave & Division St,member,41.903263054851394,-87.6784741335302,5215
Broadway & Sheridan Rd,casual,41.95279619495657,-87.65003059201312,5181
Field Blvd & South Water St,casual,41.88628511014862,-87.61749159304189,5181
Clark St & North Ave,casual,41.911965949330884,-87.63197465483078,5171
Ravenswood Ave & Lawrence Ave,casual,41.969004852062014,-87.6742270465872,5160
State St & Kinzie St,casual,41.88914748368431,-87.62719444234051,5157
Ellis Ave & 55th St,casual,41.79429704739992,-87.60144281005635,5146
Dearborn St & Monroe St,casual,41.881079690425786,-87.6296314782832,5120
Ashland Ave & Wellington Ave,member,41.936078154222656,-87.66983288260296,5075
Canal St & Madison St,casual,41.882282845103695,-87.63977118412207,5063
Wabash Ave & 9th St,casual,41.87074375165016,-87.62573685542986,5048
Clark St & Lake St,casual,41.88599608075532,-87.63094900220831,5031
Hermitage Ave & Polk St,member,41.87152227082372,-87.66989219658974,5026
Sedgwick St & Webster Ave,casual,41.92216289311852,-87.63893520933759,5012
Shedd Aquarium,member,41.86723778135597,-87.61543681009643,4978
Clark St & Montrose Ave,member,41.96154349967203,-87.66612339471227,4970
Kimbark Ave & 53rd St,casual,41.79956568797379,-87.59474202684072,4960
Leavitt St & North Ave,member,41.91033167576923,-87.68235322595547,4940
Elizabeth St & Fulton St,member,41.88670700967735,-87.6596034571875,4928
State St & Harrison St,member,41.87404212183906,-87.6277252387909,4921
California Ave & Milwaukee Ave,casual,41.92267367676363,-87.69713995586453,4916
Halsted St & Fulton St,casual,41.88726271567298,-87.64836142907758,4911
Broadway & Thorndale Ave,member,41.98975311162553,-87.66014074105854,4903
Walsh Park,member,41.91457621135972,-87.66795731410173,4876
Ashland Ave & Grace St,member,41.95068709772849,-87.66869562708564,4869
Clinton St & Lake St,casual,41.88556291069696,-87.64186876357935,4864
McCormick Place,casual,41.851409208765176,-87.61884689330314,4859
Kingsbury St & Erie St,casual,41.89384077789419,-87.64174408910046,4858
Adler Planetarium,member,41.866114289849484,-87.60731037628247,4850
Loomis St & Jackson Blvd,member,41.877949613043654,-87.66200702497298,4810
Southport Ave & Wellington Ave,casual,41.93576909545587,-87.66359660865112,4804
Lincoln Ave & Diversey Pkwy,casual,41.932201899341166,-87.6586734165128,4766
Cornell Ave & Hyde Park Blvd,member,41.80241570497897,-87.58690255751051,4756
Elizabeth St & Randolph St,member,41.88354717300485,-87.65912179625238,4739
Wood St & Augusta Blvd,member,41.899164329206684,-87.67218318515549,4727
Ada St & Washington Blvd,member,41.88285631289266,-87.66119316017641,4705
Rush St & Superior St,casual,41.895733622115586,-87.62602494309874,4689
Michigan Ave & Pearson St,casual,41.89753740684604,-87.62352330177663,4683
Indiana Ave & 31st St,member,41.83883658316531,-87.62185660061299,4682
Larrabee St & Kingsbury St,casual,41.897715005718254,-87.64304981256092,4678
Delano Ct & Roosevelt Rd,member,41.867493241566315,-87.63219339338976,4667
Sheridan Rd & Montrose Ave,casual,41.96160222543909,-87.65463259869566,4646
Western Ave & Fillmore St,member,41.86861637286116,-87.68624441779411,4624
Shields Ave & 31st St,member,41.83846295265439,-87.63538797100325,4615
Calumet Ave & 18th St,member,41.85767223394537,-87.61949149163668,4613
Lincoln Ave & Roscoe St*,member,41.94333390828057,-87.67071894196661,4612
Shore Dr & 55th St,casual,41.795232222796606,-87.58077537662973,4602
Sheridan Rd & Argyle St,member,41.973280966046616,-87.65474251920405,4548
Broadway & Ridge Ave,member,41.98403759332967,-87.66026214703786,4544
Paulina Ave & North Ave,member,41.91007470384717,-87.66999061650738,4541
Lake Park Ave & 53rd St,member,41.79952151213577,-87.58642517342517,4537
Lakefront Trail & Wilson Ave,casual,41.96581773213939,-87.64540400064843,4534
McClurg Ct & Erie St,casual,41.89450612973742,-87.61799439387907,4532
Franklin St & Illinois St,casual,41.89102257888053,-87.63546359501991,4520
Franklin St & Lake St,casual,41.88582474695179,-87.63547495184181,4501
N Green St & W Lake St,member,41.887496391884184,-87.64910122146993,4490
Orleans St & Elm St,member,41.90291155034668,-87.6377268857504,4471
Greenview Ave & Diversey Pkwy,member,41.932613956163834,-87.66595416316248,4468
Wood St & Milwaukee Ave,casual,41.90763096521525,-87.67252233483632,4460
Damen Ave & Cortland St,casual,41.91598084609389,-87.67731584877134,4452
Clarendon Ave & Leland Ave,member,41.96795171110185,-87.65002390476566,4438
Winthrop Ave & Lawrence Ave,member,41.96883449480271,-87.65764995232469,4435
Marine Dr & Ainslie St,member,41.9715956503506,-87.65016824893915,4421
